dbplyr,2.1.1,MIT
deSolve,1.28,GPL-2 GPL-3
EasyABC,1.5,GPL-3
EpiModel,2.0.3,GPL-3
plotly,4.9.3,MIT
shinycssloaders,1.0.0,MIT
shinythemes,1.2.0,GPL-3
survival,3.2-7, LGPL-2 LGPL-2.1 LGPL-3
tidyverse,1.3.1,MIT
viridis,0.6.0,MIT
